Hydrophone 1,Hydrophone 2,Hydrophone 3,Hydrophone 4,Hydrophone 5
-57,-42,-42,-41,-43
-33,-42,-42,-42,-43
-28,-42,-42,-41,-43
-37,-42,-42,-41,-44
-55,-42,-42,-41,-43
-42,-41,-42,-41,-43
-55,-42,-43,-42,-42
-51,-42,-42,-41,-43
-7,-42,-42,-42,-44
-31,-42,-42,-41,-42
-22,-42,-42,-41,-43
-50,-42,-42,-42,-44
-44,-42,-43,-42,-43
-74,-42,-43,-41,-43
-49,-42,-42,-42,-43
-44,-42,-42,-41,-43
-42,-42,-42,-42,-42
-30,-41,-42,-41,-43
-48,-42,-41,-41,-43
-41,-42,-42,-41,-42
-31,-42,-43,-42,-43
-70,-41,-42,-41,-43
-50,-42,-43,-42,-43
-50,-42,-42,-42,-44
5,-42,-42,-42,-43
-34,-43,-41,-41,-43
-41,-42,-42,-42,-43
-33,-42,-42,-42,-43
-54,-41,-41,-41,-43
-57,-42,-42,-42,-43
-81,-42,-42,-42,-43
-40,-42,-42,-41,-43
-12,-42,-43,-42,-43
-47,-42,-43,-42,-43
-31,-42,-42,-42,-43
-44,-43,-43,-42,-43
-47,-42,-43,-42,-44
-63,-42,-42,-42,-43
-46,-42,-42,-41,-43
-31,-43,-42,-41,-43
-48,-42,-42,-41,-43
-39,-41,-42,-41,-43
-37,-42,-42,-42,-42
-54,-41,-42,-42,-43
-38,-42,-42,-41,-43
-65,-42,-43,-41,-43
-50,-42,-43,-41,-44
-34,-42,-42,-42,-44
-17,-41,-42,-42,-42
-34,-42,-42,-42,-43
-46,-41,-42,-41,-44
-43,-41,-41,-41,-43
-52,-42,-42,-42,-43
-52,-42,-42,-42,-43
-19,-42,-43,-42,-43
-35,-42,-42,-42,-43
-21,-42,-43,-42,-43
-54,-42,-42,-41,-43
-50,-41,-42,-41,-43
-69,-42,-43,-42,-43
-51,-42,-42,-41,-43
-33,-42,-42,-42,-43
-34,-42,-42,-42,-43
-27,-42,-42,-41,-43
-49,-41,-43,-42,-43
-33,-42,-42,-41,-42
-33,-42,-43,-42,-43
-71,-42,-41,-41,-43
-56,-43,-43,-42,-43
-45,-42,-43,-42,-43
4,-42,-43,-42,-43
-36,-43,-42,-41,-43
-41,-43,-42,-41,-43
-31,-43,-42,-41,-43
